,,,,TC,PC,TT,SC,LG
hm11b_lm,/scratch/carina_pddft/carina_ce/DFT/final/hm11b_lm/Rev2.1/20191218_sajain_20191211az_1/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.9,79.76,28196,13200.5,119266,298
hm7_top,/scratch/carina_pddft/carina_ce/DFT/final/hm7_top/Rev2.1/20191118_sajain_20191111az_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,27.05,37,218.3,10508,293
hm7_top,/scratch/carina_pddft/carina_ce/DFT/final/hm7_top/Rev2.1/20191118_sajain_20191111az_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,97.74,2004,882.2,275461,300
hm7_top,/scratch/carina_pddft/carina_ce/DFT/final/hm7_top/Rev2.1/20191118_sajain_20191111az_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,9.37,5303,3093,275461,300
hm7_top,/scratch/carina_pddft/carina_ce/DFT/final/hm7_top/Rev2.1/20191118_sajain_20191111az_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,78.92,35277,21227.3,275461,300
hm8_top,/scratch/carina_pddft/carina_ce/DFT/final/hm8_top/Rev2.1/20191117_sajain_20191111az_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,11.2,44,349.2,6316,283
hm8_top,/scratch/carina_pddft/carina_ce/DFT/final/hm8_top/Rev2.1/20191117_sajain_20191111az_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,97.47,11200,2725.6,447055,300
hm8_top,/scratch/carina_pddft/carina_ce/DFT/final/hm8_top/Rev2.1/20191117_sajain_20191111az_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,31.96,38412,22526,447055,300
hm8_top,/scratch/carina_pddft/carina_ce/DFT/final/hm8_top/Rev2.1/20191117_sajain_20191111az_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,80.35,23054,14372.7,447055,300
hm8e_top,/scratch/carina_pddft/carina_ce/DFT/final/hm8e_top/Rev2.1/20191118_sajain_20191112az_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.9,30.84,28,78.5,3365,278
hm8e_top,/scratch/carina_pddft/carina_ce/DFT/final/hm8e_top/Rev2.1/20191118_sajain_20191112az_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.9,97.34,2376,194.4,78733,300
hm8e_top,/scratch/carina_pddft/carina_ce/DFT/final/hm8e_top/Rev2.1/20191118_sajain_20191112az_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.9,24.87,9706,1382.8,78733,300
hm8e_top,/scratch/carina_pddft/carina_ce/DFT/final/hm8e_top/Rev2.1/20191118_sajain_20191112az_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.9,77.28,18691,3703.3,78733,300
hprx,/scratch/carina_pddft/carina_ce/DFT/final/hprx/Rev2.1/20190901_sajain_finalDB_newrpt_20190529_kkchan/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,0,0,0,2198,256
hprx,/scratch/carina_pddft/carina_ce/DFT/final/hprx/Rev2.1/20190901_sajain_finalDB_newrpt_20190529_kkchan/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,61.44,7286,2860.4,103521,298
hprx,/scratch/carina_pddft/carina_ce/DFT/final/hprx/Rev2.1/20190901_sajain_finalDB_newrpt_20190529_kkchan/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,21.76,7943,1413.2,103521,298
hprx,/scratch/carina_pddft/carina_ce/DFT/final/hprx/Rev2.1/20190901_sajain_finalDB_newrpt_20190529_kkchan/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,64.1,32090,10067.3,103521,298
hptx,/scratch/carina_pddft/carina_ce/DFT/final/hptx/Rev2.2_eco3/20200106_sajain_20200106az_Rev2.2_eco3_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,6.03,73,145.1,4217,266
hptx,/scratch/carina_pddft/carina_ce/DFT/final/hptx/Rev2.2_eco3/20200106_sajain_20200106az_Rev2.2_eco3_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,96.26,3235,969.1,83942,300
hptx,/scratch/carina_pddft/carina_ce/DFT/final/hptx/Rev2.2_eco3/20200106_sajain_20200106az_Rev2.2_eco3_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,60.4,75731,7264.4,83942,300
hptx,/scratch/carina_pddft/carina_ce/DFT/final/hptx/Rev2.2_eco3/20200106_sajain_20200106az_Rev2.2_eco3_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,80.18,6336,1036.5,83942,300
itr_top,/scratch/carina_pddft/carina_ce/DFT/final/itr_top/Rev2.1/20190901_sajain_finalDB_newrpt_20190429_lr/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,23.51,111,797.2,16127,293
itr_top,/scratch/carina_pddft/carina_ce/DFT/final/itr_top/Rev2.1/20190901_sajain_finalDB_newrpt_20190429_lr/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,97.68,7398,7579.5,199161,304
itr_top,/scratch/carina_pddft/carina_ce/DFT/final/itr_top/Rev2.1/20190901_sajain_finalDB_newrpt_20190429_lr/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,55.51,14645,29925.7,199161,304
itr_top,/scratch/carina_pddft/carina_ce/DFT/final/itr_top/Rev2.1/20190901_sajain_finalDB_newrpt_20190429_lr/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,65.52,19051,44684.8,199161,304
lrx_digif,/scratch/carina_pddft/carina_ce/DFT/final/lrx_digif/Rev2.0/20191230_sajain_20191230az_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,5.35,93,436.1,20007,296
